metric_month: Month,agent_region,Sum of monthly_premium,Sum of motor_gwp,Sum of non_motor_gwp
"October, 2025",Central Team A,"2,497,356.15","2,469,918.93","27,437.22"
"October, 2025",Central Team B,"4,004,257.29","3,940,988.61","63,268.68"
"October, 2025",Eastern,"2,432,056.46","2,386,785.35","45,271.11"
"October, 2025",Northeastern,"2,541,968.15","2,469,130.66","72,837.49"
"October, 2025",Northern,"2,425,275.91","2,421,279.81","3,996.1"
"October, 2025",Southern,"1,010,503.23","1,010,503.23",0
"November, 2025",Central Team A,"2,524,822.38","2,457,412.94","67,409.44"
"November, 2025",Central Team B,"3,875,807.98","3,827,816.73","47,991.25"
"November, 2025",Eastern,"2,193,696.81","2,161,730.04","31,966.77"
"November, 2025",Northeastern,"4,689,514.25","4,663,330.99","26,183.26"
"November, 2025",Northern,"2,188,926.22","2,173,842.36","15,083.86"
"November, 2025",Southern,"3,634,217.85","3,616,698.02","17,519.83"
"December, 2025",Central Team A,"2,465,394.76","2,451,801.83","13,592.93"
"December, 2025",Central Team B,"4,658,159.4","4,596,269.43","61,889.97"
"December, 2025",Eastern,"2,672,736.91","2,653,527.98","19,208.93"
"December, 2025",Northeastern,"5,324,476.34","5,299,367.94","25,108.4"
"December, 2025",Northern,"3,053,445.06","2,998,826.25","54,618.81"
"December, 2025",Southern,"3,585,061.69","3,571,985.25","13,076.44"
"January, 2026",Central Team A,"2,266,718.55","2,161,468.04","105,250.51"
"January, 2026",Central Team B,"3,685,756.34","3,575,291.35","110,464.99"
"January, 2026",Eastern,"1,905,454.87","1,883,271.87","22,183"
"January, 2026",Northeastern,"6,437,604.21","6,403,439.34","34,164.87"
"January, 2026",Northern,"2,702,673.16","2,693,830.8","8,842.36"
"January, 2026",Southern,"2,069,622.48","2,052,608.07","17,014.41"
"February, 2026",Central Team A,"621,699.38","613,244.22","8,455.16"
"February, 2026",Central Team B,"982,633.11","962,934.83","19,698.28"
"February, 2026",Eastern,"616,653.43","616,653.43",0
"February, 2026",Northeastern,"1,786,463.12","1,774,621.12","11,842"
"February, 2026",Northern,"1,057,345.56","1,057,136.28",209.28
"February, 2026",Southern,"1,287,499.89","1,278,549.47","8,950.42"
